City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,narsaq,60.9167,-46.05,-1.88,77,{'all': 11},2.71,GL,1680133238
74,gat,31.61,34.7642,14.38,100,{'all': 90},5.98,IL,1680133239
75,toumodi,6.5613,-5.0158,21.81,95,{'all': 100},1.38,CI,1680133241
76,upernavik,72.7868,-56.1549,-28.55,87,{'all': 49},3.14,GL,1680133244
77,yar-sale,66.8333,70.8333,-17.83,80,{'all': 20},6.84,RU,1680133246
78,oudtshoorn,-33.5907,22.2014,12.13,79,{'all': 69},0.59,ZA,1680133247
79,evensk,61.95,159.2333,-11.48,87,{'all': 31},1.39,RU,1680133248
80,hay river,60.8156,-115.7999,-5.02,58,{'all': 40},2.57,CA,1680133250
81,port lincoln,-34.7333,135.8667,17.59,63,{'all': 64},4.52,AU,1680133252
82,chuy,-33.6971,-53.4616,21.65,78,{'all': 28},5.2,UY,1680133253
83,norman wells,65.282,-126.8329,-6.98,58,{'all': 75},2.06,CA,1680133255
84,neyyattinkara,8.4,77.0833,28.92,92,{'all': 97},2.0,IN,1680133256
85,nova odesa,47.3078,31.7851,0.36,73,{'all': 96},4.97,UA,1680133257
86,charters towers,-20.1,146.2667,28.34,56,{'all': 6},4.43,AU,1680133260
87,east london,-33.0153,27.9116,16.54,66,{'all': 96},7.59,ZA,1680132990
88,zhigansk,66.7697,123.3711,-21.49,92,{'all': 66},2.63,RU,1680133262
89,airai,-8.9266,125.4092,18.27,77,{'all': 98},1.35,TL,1680133264
90,geelong,-38.1471,144.3607,16.71,77,{'all': 75},6.69,AU,1680132994
91,atambua,-9.1061,124.8925,24.91,78,{'all': 94},1.13,ID,1680133270
92,kruisfontein,-34.0033,24.7314,12.16,82,{'all': 49},5.26,ZA,1680133272
93,thompson,55.7435,-97.8558,-0.91,40,{'all': 75},6.17,CA,1680133274
94,port hawkesbury,45.6169,-61.3485,0.1,96,{'all': 100},2.24,CA,1680133275
95,santa cruz de tenerife,28.4682,-16.2546,25.17,17,{'all': 0},0.51,ES,1680133276
96,joshimath,30.5667,79.5667,7.3,61,{'all': 79},3.52,IN,1680133278
97,paamiut,61.994,-49.6678,-11.94,82,{'all': 16},2.92,GL,1680133279
98,bathsheba,13.2167,-59.5167,26.34,73,{'all': 40},7.72,BB,1680133281
99,togur,58.3631,82.8265,-7.76,75,{'all': 51},3.53,RU,1680133283
100,iqaluit,63.7506,-68.5145,-19.06,77,{'all': 100},8.23,CA,1680133288
101,honiara,-9.4333,159.95,28.19,78,{'all': 99},1.85,SB,1680133292
102,butaritari,3.0707,172.7902,27.39,79,{'all': 87},5.89,KI,1680133293
103,puerto ayora,-0.7393,-90.3518,27.53,88,{'all': 89},1.34,EC,1680133295
104,ekibastuz,51.6667,75.3667,-1.09,71,{'all': 100},8.37,KZ,1680133296
105,cabo san lucas,22.8909,-109.9124,26.14,49,{'all': 75},4.12,MX,1680133143
106,souillac,-20.5167,57.5167,27.21,83,{'all': 75},4.63,MU,1680133299
107,tres coracoes,-21.6969,-45.2533,19.53,92,{'all': 99},2.1,BR,1680133300
108,khatanga,71.9667,102.5,-27.03,99,{'all': 99},1.57,RU,1680133302
109,peterhead,57.5058,-1.7981,8.22,96,{'all': 100},5.79,GB,1680133304
110,hudiksvall,61.729,17.1036,-6.14,85,{'all': 30},1.38,SE,1680133306
111,domat,46.8348,9.4508,11.15,94,{'all': 100},2.65,CH,1680133307
112,hambantota,6.1241,81.1185,24.64,80,{'all': 27},2.72,LK,1680133309
113,ukiah,39.1502,-123.2078,10.94,62,{'all': 40},4.12,US,1680133311
114,anupgarh,29.1911,73.2086,22.17,49,{'all': 70},0.82,IN,1680133313
115,severo-kurilsk,50.6789,156.125,2.16,81,{'all': 7},2.82,RU,1680133316
116,chokurdakh,70.6333,147.9167,-23.76,94,{'all': 100},1.27,RU,1680133318
117,kijang,35.2442,129.2139,9.85,46,{'all': 69},0.82,KR,1680133319
118,saint george,37.1041,-113.5841,19.03,32,{'all': 0},10.29,US,1680133053
119,saskylakh,71.9167,114.0833,-29.57,100,{'all': 94},1.0,RU,1680133322
120,dunedin,-45.8742,170.5036,13.22,61,{'all': 67},4.04,NZ,1680133098
121,sao filipe,14.8961,-24.4956,25.07,58,{'all': 79},3.37,CV,1680133325
122,penzance,50.1186,-5.5371,11.38,90,{'all': 83},11.83,GB,1680132767
123,northam,51.0333,-4.2167,10.77,92,{'all': 94},9.49,GB,1680133329
124,strezhevoy,60.7333,77.5889,-8.27,86,{'all': 94},5.81,RU,1680133331
125,mandera,3.9366,41.867,29.2,55,{'all': 29},0.55,KE,1680133332
126,jamestown,42.097,-79.2353,-1.36,97,{'all': 100},7.72,US,1680132832
127,arlit,18.7369,7.3853,24.17,10,{'all': 1},5.07,NE,1680133338
128,eston,51.1501,-108.7514,-2.82,90,{'all': 23},2.11,CA,1680133339
129,mogadishu,2.0371,45.3438,27.04,78,{'all': 44},5.11,SO,1680133161
130,pevek,69.7008,170.3133,-19.83,95,{'all': 100},3.43,RU,1680133342
131,kodiak,57.79,-152.4072,3.73,87,{'all': 100},5.14,US,1680133236
132,gorur,12.8194,76.0717,21.76,63,{'all': 80},1.69,IN,1680133344
133,riacho de santana,-13.6092,-42.9389,24.81,50,{'all': 59},2.32,BR,1680133346
134,lichuan,30.3,108.85,6.63,88,{'all': 50},0.42,CN,1680133347
135,new norfolk,-42.7826,147.0587,13.29,74,{'all': 100},1.79,AU,1680133348
136,alofi,-19.0595,-169.9187,28.94,74,{'all': 75},3.6,NU,1680133349
137,tautira,-17.7333,-149.15,27.29,75,{'all': 78},1.36,PF,1680133351
138,uruzgan,32.8333,66.0,8.47,78,{'all': 60},1.15,AF,1680133353
139,namibe,-15.1961,12.1522,23.76,80,{'all': 100},1.78,AO,1680133354
140,cidreira,-30.1811,-50.2056,22.38,89,{'all': 62},2.93,BR,1680133356
141,belyy yar,53.6039,91.3903,-0.06,74,{'all': 0},1.0,RU,1680133357
142,sinnamary,5.3833,-52.95,24.93,87,{'all': 58},5.33,GF,1680133358
143,beloha,-25.1667,45.05,19.85,86,{'all': 1},2.13,MG,1680133359
144,mayor pablo lagerenza,-19.9309,-60.7718,28.34,59,{'all': 49},3.11,PY,1680133361
145,hofn,64.2539,-15.2082,3.03,97,{'all': 100},10.76,IS,1680133362
146,teahupoo,-17.8333,-149.2667,28.98,75,{'all': 88},1.61,PF,1680133363
147,vila franca do campo,37.7167,-25.4333,16.23,90,{'all': 94},7.87,PT,1680133364
148,kosh-agach,50.0,88.6667,-10.36,82,{'all': 75},1.43,RU,1680133365
149,ocampo,21.65,-101.5,19.9,44,{'all': 98},5.69,MX,1680133366
150,atikokan,48.7555,-91.6216,-5.92,81,{'all': 100},4.58,CA,1680133367
151,yatou,37.15,122.3833,11.7,45,{'all': 6},3.85,CN,1680133370
152,san joaquin,37.9333,-121.3011,10.55,89,{'all': 100},5.66,US,1680133371
153,alta floresta,-9.8756,-56.0861,22.75,95,{'all': 89},1.26,BR,1680133372
154,jining,35.405,116.5814,12.75,59,{'all': 32},3.91,CN,1680133375
155,smithers,54.7804,-127.1743,11.18,22,{'all': 0},1.03,CA,1680133216
156,turayf,31.6725,38.6637,9.14,66,{'all': 0},9.26,SA,1680133377
157,khuzdar,27.7384,66.6434,15.57,56,{'all': 6},1.57,PK,1680133378
158,tsaratanana,-16.7833,47.65,22.91,95,{'all': 100},1.7,MG,1680133379
159,japura,-0.3167,102.35,23.46,97,{'all': 91},0.56,ID,1680133380
160,rawson,-43.3002,-65.1023,13.78,27,{'all': 54},6.26,AR,1680133145
161,mount gambier,-37.8333,140.7667,16.21,67,{'all': 53},4.36,AU,1680133382
162,henties bay,-22.116,14.2845,15.19,93,{'all': 13},3.58,NA,1680133383
163,inhambane,-23.865,35.3833,20.71,83,{'all': 0},3.34,MZ,1680133385
164,ancud,-41.8697,-73.8203,10.33,78,{'all': 98},4.13,CL,1680133386
165,sao joao do piaui,-8.3581,-42.2467,24.87,68,{'all': 92},0.66,BR,1680133389
166,cherskiy,68.75,161.3,-21.79,92,{'all': 75},1.62,RU,1680133390
167,poltavka,54.3663,71.7632,-4.64,85,{'all': 7},3.72,RU,1680133392
168,dikson,73.5069,80.5464,-22.02,98,{'all': 100},5.67,RU,1680133393
169,bengkulu,-3.8004,102.2655,24.66,85,{'all': 93},1.58,ID,1680133394
170,ystad,55.4297,13.8204,5.41,97,{'all': 99},2.93,SE,1680133395
171,geraldton,-28.7667,114.6,23.23,78,{'all': 40},8.23,AU,1680133399
172,lima,-12.0432,-77.0282,26.14,61,{'all': 0},4.12,PE,1680133318
173,daru,-9.0763,143.2092,25.82,88,{'all': 96},2.21,PG,1680133403
174,selikhino,50.3672,137.4996,2.2,98,{'all': 100},3.53,RU,1680133406
175,bedele,8.456,36.353,15.13,77,{'all': 95},0.81,ET,1680133407
176,monrovia,6.3005,-10.7969,23.87,87,{'all': 55},2.57,LR,1680132923
177,angola,-12.5,18.5,17.59,97,{'all': 100},0.62,AO,1680133409
178,lasa,46.6166,10.7002,7.49,95,{'all': 92},1.7,IT,1680133411
179,requena,39.4883,-1.1004,8.62,46,{'all': 63},1.66,ES,1680133412
180,pangkalanbuun,-2.6833,111.6167,23.97,96,{'all': 100},0.85,ID,1680133413
181,nakamura,32.9833,132.9333,15.84,69,{'all': 100},1.33,JP,1680133416
182,fare,-16.7,-151.0167,28.08,72,{'all': 81},2.91,PF,1680133418
183,saint-francois,46.4154,3.9054,16.69,55,{'all': 0},2.57,FR,1680133420
184,ponta do sol,32.6667,-17.1,21.74,32,{'all': 23},1.11,PT,1680133421
185,codrington,-38.2667,141.9667,16.05,71,{'all': 52},6.23,AU,1680133423
186,hammerfest,70.6634,23.6821,-1.75,86,{'all': 75},8.75,NO,1680133425
187,tshikapa,-6.4167,20.8,20.34,94,{'all': 62},0.83,CD,1680133427
188,namwala,-15.7504,26.4384,17.55,93,{'all': 56},2.15,ZM,1680133428
189,padang,-0.9492,100.3543,23.03,89,{'all': 90},1.62,ID,1680133429
190,mar del plata,-38.0023,-57.5575,15.61,59,{'all': 40},2.57,AR,1680133143
191,loding,67.3,14.75,-7.05,77,{'all': 0},4.12,NO,1680133433
192,sabha,27.0377,14.4283,17.15,36,{'all': 0},6.3,LY,1680133434
193,solnechnyy,50.7214,136.6319,1.65,81,{'all': 100},0.96,RU,1680133436
194,nanortalik,60.1432,-45.2371,-4.12,91,{'all': 64},2.99,GL,1680133437
195,kaeo,-35.1,173.7833,18.51,54,{'all': 100},2.13,NZ,1680133438
196,castro,-24.7911,-50.0119,17.71,97,{'all': 88},2.97,BR,1680133440
197,saint-philippe,-21.3585,55.7679,22.77,79,{'all': 63},3.09,RE,1680133444
198,komsomolskiy,40.4272,71.7189,15.4,47,{'all': 100},1.68,UZ,1680133446
199,constitucion,-35.3333,-72.4167,12.08,76,{'all': 58},7.58,CL,1680133448
200,amapa,1.0,-52.0,22.64,98,{'all': 84},1.27,BR,1680133450
201,stornoway,58.2093,-6.3865,9.98,90,{'all': 100},6.69,GB,1680133451
202,kibala,9.1104,18.3463,29.97,48,{'all': 0},2.06,TD,1680133453
203,sechura,-5.5569,-80.8222,26.51,79,{'all': 84},3.32,PE,1680133455
204,trinidad,-14.8333,-64.9,29.99,74,{'all': 40},0.0,BO,1680133408
205,sobolevo,54.4299,31.8996,-2.93,90,{'all': 99},6.27,RU,1680133458
206,bure,10.7,37.0667,17.33,38,{'all': 100},1.23,ET,1680133460
207,bilma,18.6853,12.9164,23.79,10,{'all': 2},2.89,NE,1680133461
208,kulevcha,46.0303,29.9361,0.58,63,{'all': 57},3.71,UA,1680133463
